"일별보고서(2025.03.31.~2025.06.30.),kdj1568:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
2025.03.31.,PC,14,0,0,0,0,0,0
2025.03.31.,모바일,41,4,9.76,415,"1,661",0,0
2025.04.01.,PC,19,0,0,0,0,0,0
2025.04.01.,모바일,26,4,15.39,941,"3,762",0,0
2025.04.02.,PC,6,0,0,0,0,0,0
2025.04.02.,모바일,34,2,5.89,"2,272","4,543",0,0
2025.04.03.,PC,9,0,0,0,0,0,0
2025.04.03.,모바일,41,2,4.88,292,583,0,0
2025.04.04.,PC,4,0,0,0,0,0,0
2025.04.04.,모바일,39,1,2.57,275,275,0,0
2025.04.05.,PC,7,0,0,0,0,0,0
2025.04.05.,모바일,44,0,0,0,0,0,0
2025.04.06.,PC,10,1,10,132,132,0,0
2025.04.06.,모바일,36,0,0,0,0,0,0
2025.04.07.,PC,14,2,14.29,209,418,0,0
2025.04.07.,모바일,44,2,4.55,"1,854","3,707",0,0
2025.04.08.,PC,19,2,10.53,391,781,0,0
2025.04.08.,모바일,41,1,2.44,396,396,0,0
2025.04.09.,PC,7,0,0,0,0,0,0
2025.04.09.,모바일,55,2,3.64,418,836,0,0
2025.04.10.,PC,10,0,0,0,0,0,0
2025.04.10.,모바일,45,2,4.45,182,363,0,0
2025.04.11.,PC,14,0,0,0,0,0,0
2025.04.11.,모바일,54,5,9.26,570,"2,849",0,0
2025.04.12.,PC,8,1,12.5,55,55,0,0
2025.04.12.,모바일,59,3,5.09,"1,360","4,081",0,0
2025.04.13.,PC,4,0,0,0,0,0,0
2025.04.13.,모바일,63,1,1.59,55,55,0,0
2025.04.14.,PC,17,0,0,0,0,0,0
2025.04.14.,모바일,45,0,0,0,0,0,0
2025.04.15.,PC,15,0,0,0,0,0,0
2025.04.15.,모바일,38,1,2.64,"2,431","2,431",0,0
2025.04.16.,PC,10,1,10,286,286,0,0
2025.04.16.,모바일,51,2,3.93,913,"1,826",0,0
2025.04.17.,PC,28,3,10.72,227,682,0,0
2025.04.17.,모바일,53,2,3.78,325,649,0,0
2025.04.18.,PC,22,0,0,0,0,0,0
2025.04.18.,모바일,61,1,1.64,77,77,0,0
2025.04.19.,PC,7,0,0,0,0,0,0
2025.04.19.,모바일,94,0,0,0,0,0,0
2025.04.20.,PC,6,0,0,0,0,0,0
2025.04.20.,모바일,88,1,1.14,77,77,0,0
2025.04.21.,PC,16,1,6.25,165,165,0,0
2025.04.21.,모바일,78,5,6.42,975,"4,873",0,0
2025.04.22.,PC,20,0,0,0,0,0,0
2025.04.22.,모바일,72,1,1.39,913,913,0,0
2025.04.23.,PC,22,2,9.1,"1,623","3,245",0,0
2025.04.23.,모바일,98,0,0,0,0,0,0
2025.04.24.,PC,18,0,0,0,0,0,0
2025.04.24.,모바일,73,4,5.48,462,"1,848",0,0
2025.04.25.,PC,10,0,0,0,0,0,0
2025.04.25.,모바일,32,3,9.38,"1,261","3,784",0,0
2025.04.28.,PC,5,0,0,0,0,0,0
2025.04.28.,모바일,15,2,13.34,253,506,0,0
2025.04.29.,PC,12,0,0,0,0,0,0
2025.04.29.,모바일,56,2,3.58,"1,612","3,223",0,0
2025.04.30.,PC,10,0,0,0,0,0,0
2025.04.30.,모바일,55,3,5.46,356,"1,067",0,0
2025.05.01.,PC,8,0,0,0,0,0,0
2025.05.01.,모바일,52,0,0,0,0,0,0
2025.05.02.,PC,8,0,0,0,0,0,0
2025.05.02.,모바일,49,2,4.09,677,"1,353",0,0
2025.05.03.,PC,3,0,0,0,0,0,0
2025.05.03.,모바일,46,2,4.35,495,990,0,0
2025.05.04.,PC,6,0,0,0,0,0,0
2025.05.04.,모바일,59,1,1.7,396,396,0,0
2025.05.05.,PC,4,0,0,0,0,0,0
2025.05.05.,모바일,47,2,4.26,259,517,0,0
2025.05.06.,PC,4,0,0,0,0,0,0
2025.05.06.,모바일,54,1,1.86,649,649,0,0
2025.05.07.,PC,16,1,6.25,275,275,0,0
2025.05.07.,모바일,47,2,4.26,578,"1,155",0,0
2025.05.08.,PC,7,1,14.29,385,385,0,0
2025.05.08.,모바일,53,4,7.55,396,"1,584",0,0
2025.05.09.,PC,9,0,0,0,0,0,0
2025.05.09.,모바일,39,3,7.7,418,"1,254",0,0
2025.05.10.,PC,12,1,8.34,77,77,0,0
2025.05.10.,모바일,62,4,6.46,619,"2,475",0,0
2025.05.11.,PC,5,1,20,77,77,0,0
2025.05.11.,모바일,42,0,0,0,0,0,0
2025.05.12.,PC,5,0,0,0,0,0,0
2025.05.12.,모바일,42,6,14.29,590,"3,542",0,0
2025.05.13.,PC,10,2,20,215,429,0,0
2025.05.13.,모바일,36,2,5.56,"2,173","4,345",0,0
2025.05.14.,PC,5,0,0,0,0,0,0
2025.05.14.,모바일,52,3,5.77,491,"1,474",0,0
2025.05.15.,PC,14,1,7.15,385,385,0,0
2025.05.15.,모바일,30,1,3.34,880,880,0,0
2025.05.16.,PC,13,0,0,0,0,0,0
2025.05.16.,모바일,31,1,3.23,"1,771","1,771",0,0
2025.05.17.,PC,2,0,0,0,0,0,0
2025.05.17.,모바일,33,2,6.07,"2,349","4,697",0,0
2025.05.18.,PC,4,0,0,0,0,0,0
2025.05.18.,모바일,42,1,2.39,"1,980","1,980",0,0
2025.05.19.,PC,12,0,0,0,0,0,0
2025.05.19.,모바일,30,1,3.34,"1,980","1,980",0,0
2025.05.20.,PC,8,1,12.5,451,451,0,0
2025.05.20.,모바일,29,1,3.45,"1,848","1,848",0,0
2025.05.21.,PC,12,1,8.34,77,77,0,0
2025.05.21.,모바일,31,2,6.46,484,968,0,0
2025.05.22.,PC,14,1,7.15,77,77,0,0
2025.05.22.,모바일,38,3,7.9,"1,701","5,104",0,0
2025.05.23.,PC,12,0,0,0,0,0,0
2025.05.23.,모바일,47,0,0,0,0,0,0
2025.05.24.,PC,2,0,0,0,0,0,0
2025.05.24.,모바일,49,3,6.13,"1,441","4,323",0,0
2025.05.25.,모바일,19,3,15.79,825,"2,475",0,0
2025.05.27.,모바일,1,0,0,0,0,0,0
2025.05.28.,PC,5,0,0,0,0,0,0
2025.05.28.,모바일,56,3,5.36,480,"1,441",0,0
2025.05.29.,PC,16,0,0,0,0,0,0
2025.05.29.,모바일,42,2,4.77,198,396,0,0
2025.05.30.,PC,13,1,7.7,77,77,0,0
2025.05.30.,모바일,45,3,6.67,477,"1,430",0,0
2025.05.31.,PC,6,0,0,0,0,0,0
2025.05.31.,모바일,73,1,1.37,363,363,0,0
2025.06.01.,PC,10,0,0,0,0,0,0
2025.06.01.,모바일,67,2,2.99,440,880,0,0
2025.06.02.,PC,19,0,0,0,0,0,0
2025.06.02.,모바일,64,7,10.94,883,"6,182",0,0
2025.06.06.,모바일,5,0,0,0,0,0,0
2025.06.07.,PC,3,0,0,0,0,0,0
2025.06.07.,모바일,85,1,1.18,352,352,0,0
2025.06.08.,PC,7,0,0,0,0,0,0
2025.06.08.,모바일,66,3,4.55,348,"1,045",0,0
2025.06.09.,PC,18,0,0,0,0,0,0
2025.06.09.,모바일,36,2,5.56,176,352,0,0
2025.06.10.,PC,15,1,6.67,341,341,0,0
2025.06.10.,모바일,41,0,0,0,0,0,0
2025.06.11.,PC,15,1,6.67,99,99,0,0
2025.06.11.,모바일,65,6,9.24,290,"1,738",0,0
2025.06.12.,PC,20,1,5,330,330,0,0
2025.06.12.,모바일,52,7,13.47,289,"2,024",0,0
2025.06.13.,PC,16,0,0,0,0,0,0
2025.06.13.,모바일,33,2,6.07,319,638,0,0
2025.06.14.,PC,12,0,0,0,0,0,0
2025.06.14.,모바일,58,2,3.45,407,814,0,0
2025.06.15.,PC,7,1,14.29,"5,478","5,478",0,0
2025.06.15.,모바일,45,2,4.45,"1,760","3,520",0,0
2025.06.16.,PC,14,2,14.29,204,407,0,0
2025.06.16.,모바일,46,3,6.53,400,"1,199",0,0
2025.06.17.,PC,18,2,11.12,"2,921","5,841",0,0
2025.06.17.,모바일,50,0,0,0,0,0,0
2025.06.18.,PC,10,1,10,440,440,0,0
2025.06.18.,모바일,45,2,4.45,363,726,0,0
2025.06.19.,PC,17,1,5.89,143,143,0,0
2025.06.19.,모바일,43,2,4.66,"1,788","3,575",0,0
2025.06.20.,PC,17,3,17.65,304,913,0,0
2025.06.20.,모바일,39,2,5.13,314,627,0,0
2025.06.21.,PC,3,0,0,0,0,0,0
2025.06.21.,모바일,70,3,4.29,304,913,0,0
2025.06.22.,PC,7,0,0,0,0,0,0
2025.06.22.,모바일,71,1,1.41,429,429,0,0
2025.06.23.,PC,19,0,0,0,0,0,0
2025.06.23.,모바일,58,0,0,0,0,0,0
2025.06.24.,PC,20,0,0,0,0,0,0
2025.06.24.,모바일,55,0,0,0,0,0,0
2025.06.25.,PC,16,1,6.25,66,66,0,0
2025.06.25.,모바일,51,1,1.97,77,77,0,0
2025.06.26.,PC,13,0,0,0,0,0,0
2025.06.26.,모바일,56,4,7.15,338,"1,353",0,0
2025.06.27.,PC,10,0,0,0,0,0,0
2025.06.27.,모바일,35,3,8.58,"1,481","4,444",0,0
